id,pai,x0,y0,z0,x1,y1,z1,raio,comprimento,fluxo,resistencia,volume
5,0,0,0.05,0,0,0.05,0,1,0,8.33e-06,0,0
173,5,0,0.05,0,0.00353341,0.0454009,0,0.824257,0.00579971,4.6648e-06,0.000115186,0.0123789
13,173,0.00353341,0.0454009,0,0.00588902,0.0423348,0,0.819321,0.00386647,4.5815e-06,7.86576e-05,0.00815405
3,13,0.00588902,0.0423348,0,0.00862937,0.0327728,0,0.804145,0.00994696,4.3316e-06,0.00021807,0.0202073
55,3,0.00862937,0.0327728,0,0.00896105,0.0267205,0,0.742896,0.0060614,3.4153e-06,0.000182433,0.0105094
103,55,0.00896105,0.0267205,0,0.0102545,0.0217727,0,0.736806,0.00511407,3.332e-06,0.000159073,0.00872214
93,103,0.0102545,0.0217727,0,0.0105778,0.0205357,0,0.730614,0.00127852,3.2487e-06,4.11336e-05,0.00214404
131,93,0.0105778,0.0205357,0,0.0133717,0.0153087,0,0.724316,0.00592683,3.1654e-06,0.000197403,0.00976851
77,131,0.0133717,0.0153087,0,0.0140701,0.014002,0,0.717905,0.00148171,3.0821e-06,5.11371e-05,0.00239909
31,77,0.0140701,0.014002,0,0.0154672,0.00761937,0,0.70473,0.0065337,2.9155e-06,0.000242835,0.0101942
137,31,0.0154672,0.00761937,0,0.0137282,0.00376667,0,0.621447,0.00422702,1.9992e-06,0.000259813,0.00512851
95,137,0.0137282,0.00376667,0,0.013241,-0.00112496,0,0.603681,0.00491583,1.8326e-06,0.00033932,0.0056281
7,95,0.013241,-0.00112496,0,0.0128093,-0.00778443,0,0.584804,0.00667345,1.666e-06,0.000523062,0.00717002
111,7,0.0128093,-0.00778443,0,0.00921957,-0.01309,0,0.493242,0.00640586,9.996e-07,0.000992152,0.00489607
59,111,0.00921957,-0.01309,0,0.00820383,-0.0174178,0,0.479142,0.00444539,9.163e-07,0.000773207,0.00320618
21,59,0.00820383,-0.0174178,0,0.00785935,-0.0287084,0,0.391487,0.0112958,4.998e-07,0.00440851,0.00543878
57,21,0.00785935,-0.0287084,0,0.0026884,-0.0371427,0,0.368403,0.00989325,4.165e-07,0.00492366,0.00421828
89,57,0.0026884,-0.0371427,0,-0.00174637,-0.0402574,0,0.310723,0.00541932,2.499e-07,0.00532957,0.00164377
1,89,-0.00174637,-0.0402574,0,-0.005,-0.04,0,0.215443,0.0032638,8.33e-08,0.0138878,0.000475927
141,89,-0.00174637,-0.0402574,0,-0.00435528,-0.0441627,0,0.271442,0.00469651,1.666e-07,0.0079307,0.00108712
88,141,-0.00435528,-0.0441627,0,-0.00410865,-0.0470019,0,0.215443,0.00284988,8.33e-08,0.0121265,0.000415569
140,141,-0.00435528,-0.0441627,0,-0.0100664,-0.0462948,0,0.215443,0.00609609,8.33e-08,0.0259394,0.00088893
